date,linear_trend
2012-06-04,0
2012-06-05,1
2012-06-06,2
2012-06-07,3
2012-06-08,4
2012-06-11,7
2012-06-12,8
2012-06-13,9
2012-06-14,10
2012-06-15,11
2012-06-18,14
2012-06-19,15
2012-06-20,16
2012-06-21,17
2012-06-22,18
2012-06-25,21
2012-06-26,22
2012-06-27,23
2012-06-28,24
2012-06-29,25
2012-07-02,28
2012-07-03,29
2012-07-04,30
2012-07-05,31
2012-07-06,32
2012-07-09,35
2012-07-10,36
2012-07-11,37
2012-07-12,38
2012-07-13,39
2012-07-16,42
2012-07-17,43
2012-07-18,44
2012-07-19,45
2012-07-23,49
2012-07-24,50
2012-07-25,51
2012-07-26,52
2012-07-27,53
2012-07-30,56
2012-08-01,58
2012-08-02,59
2012-08-03,60
2012-08-06,63
2012-08-07,64
2012-08-08,65
2012-08-09,66
2012-08-10,67
2012-08-13,70
2012-08-14,71
2012-08-15,72
2012-08-16,73
2012-08-17,74
2012-08-20,77
2012-08-21,78
2012-08-22,79
2012-08-23,80
2012-08-24,81
2012-08-27,84
2012-08-28,85
2012-08-29,86
2012-08-30,87
2012-08-31,88
2012-09-03,91
2012-09-04,92
2012-09-05,93
2012-09-06,94
2012-09-07,95
2012-09-10,98
2012-09-11,99
2012-09-12,100
2012-09-13,101
2012-09-14,102
2012-09-17,105
2012-09-18,106
2012-09-19,107
2012-09-20,108
2012-09-21,109
2012-09-24,112
2012-09-25,113
2012-09-26,114
2012-09-27,115
2012-09-28,116
2012-10-01,119
2012-10-02,120
2012-10-03,121
2012-10-04,122
2012-10-05,123
2012-10-08,126
2012-10-09,127
2012-10-10,128
2012-10-11,129
2012-10-12,130
2012-10-15,133
2012-10-16,134
2012-10-17,135
2012-10-18,136
2012-10-19,137
2012-10-22,140
2012-10-23,141
2012-10-24,142
2012-10-25,143
2012-10-26,144
2012-10-29,147
2012-10-30,148
2012-10-31,149
2012-11-01,150
2012-11-02,151
2012-11-05,154
2012-11-06,0
2012-11-07,0
2012-11-08,0
2012-11-09,0
2012-11-12,0
2012-11-13,0
2012-11-14,0
2012-11-15,0
2012-11-16,0
2012-11-19,0
2012-11-20,0
2012-11-21,0
2012-11-22,0
2012-11-23,0
2012-11-26,0
2012-11-27,0
2012-11-28,0
2012-11-29,0
2012-11-30,0
2012-12-03,0
2012-12-04,0
2012-12-05,0
2012-12-06,0
2012-12-07,0
2012-12-10,0
2012-12-11,0
2012-12-12,0
2012-12-13,0
2012-12-14,0
2012-12-17,0
2012-12-18,0
2012-12-19,0
2012-12-20,0
2012-12-21,0
2012-12-24,0
2012-12-25,0
2012-12-26,0
2012-12-27,0
2012-12-28,0
2012-12-31,0
2013-01-01,0
2013-01-02,0
2013-01-03,0
2013-01-04,0
2013-01-07,0
2013-01-08,0
2013-01-09,0
2013-01-10,0
2013-01-11,0
2013-01-14,0
2013-01-15,0
2013-01-16,0
2013-01-17,0
2013-01-18,0
2013-01-21,0
2013-01-22,0
2013-01-23,0
2013-01-24,0
2013-01-25,0
2013-01-28,0
2013-01-29,0
2013-01-30,0
2013-01-31,0
