channel,show,show_index,channel_index
cnn,cnn-specialcoverage,1,1
fnc,fnc-specialcoverage,2,2
msnbc,msnbc-specialcoverage,3,3
cnn,andersoncooper,4,1
cnn,erinburnettoutfront,5,1
fnc,foxreportwithshepardsmith,6,2
fnc,hannity,7,2
msnbc,hardballwithchrismatthews,8,3
cnn,johnkingusa,9,1
fnc,ontherecordwithgretavansusteren,10,2
fnc,oreillyfactor,11,2
cnn,piersmorgan,12,1
msnbc,politicsnation,13,3
fnc,specialreportwithbretbaier,14,2
msnbc,theedshow,15,3
fnc,thefive,16,2
msnbc,thelastwordwithlawrenceodonnell,17,3
msnbc,therachelmaddowshow,18,3
cnn,thesituationroomwithwolfblitzer,19,1
