stat,value
CNN_pct_0005,0.3689232905446327
CNN_pct_001,0.3096961460626025
CNN_pct_01,0.08356106375959545
CNN_pct_1,0.005480301933615965
FNC_pct_0005,0.3781088280622972
FNC_pct_001,0.33355490888321
FNC_pct_01,0.16434997119517852
FNC_pct_1,0.044563766981303946
MSN_pct_0005,0.23650727998778873
MSN_pct_001,0.18635488524848468
MSN_pct_01,0.0534760279874539
MSN_pct_1,0.014038042059963268
CNN_25_rprop,0.2654747232207643
CNN_50_rprop,0.567395005675369
CNN_75_rprop,0.715715715715716
FNC_25_rprop,0.45109095366511404
FNC_50_rprop,0.66093123292449
FNC_75_rprop,0.802022017791888
MSN_25_rprop,0.16737186927007705
MSN_50_rprop,0.5025214952997563
MSN_75_rprop,0.671545335405836
left_CNN,1.5525856572630676
left_FNC,3.841844085004802
left_MSN,2.355111794106645
center_CNN,1.4265253717742767
center_FNC,4.544243549730991
center_MSN,1.6226829293652807
right_CNN,1.3217735485191189
right_FNC,7.022490014892859
right_MSN,1.2373247571624444
CNN_FNC_pct_0005,0.2049007587731608
CNN_FNC_pct_001,0.15475328793496512
CNN_FNC_pct_01,0.023898154029474473
CNN_MSN_pct_0005,0.16195449330595643
CNN_MSN_pct_001,0.11931597165802522
CNN_MSN_pct_01,0.022832129439512336
FNC_MSN_pct_0005,0.13235199984243518
FNC_MSN_pct_001,0.09117341487313568
FNC_MSN_pct_01,0.008466647955842455
